,Vote,Occupation_Satisfaction,Avg_monthly_expense_when_under_age_21,Avg_lottary_expanses,Age_group,Avg_monthly_expense_on_pets_or_plants,Looking_at_poles_results,Avg_environmental_importance,Married,Gender,Voting_Time,Financial_balance_score_(0-1),%Of_Household_Income,Yearly_IncomeK,Avg_size_per_room,Garden_sqr_meter_per_person_in_residancy_area,Avg_Residancy_Altitude,Yearly_ExpensesK,%Time_invested_in_work,Avg_education_importance,Avg_Satisfaction_with_previous_vote,Avg_monthly_household_cost,Will_vote_only_large_party,Phone_minutes_10_years,Avg_government_satisfaction,Weighted_education_rank,%_satisfaction_financial_policy,Avg_monthly_income_all_years,Last_school_grades,Most_Important_Issue,Number_of_differnt_parties_voted_for,Political_interest_Total_Score,Number_of_valued_Kneset_members,Main_transportation,Occupation,Financial_agenda_matters,Num_of_kids_born_last_10_years,Overall_happiness_score
9737,Blues,2.0,1933.9191010000002,507426.3372,Below_30,416214.9827,No,954.1755052999999,No,Female,After_16:00,0.8454313809999999,0.8378192940000001,5450.0,678.6722697,70.61832752,9228.816573999999,642.2270366,91.86505657,26.05133912,8.55,79849.44817999999,Maybe,619600.7199,2.4104812019999997,787.1472035,95.23664776,644.6397002,70.0,Social,11.0,339.4649607,4.0,Motorcycle_or_truck,Student_or_Unemployed,Yes,3.0,529.3114843999999
2354,Yellows,8.0,-171.0697044,-29562.00092,45_and_up,3204.626072,No,655.8298884,No,Female,By_16:00,0.00345319,0.868918008,9670.0,327.0033708,94.03634421,5838.209465999999,258.9437291,90.33194303,18.08323452,4.33,49218.91636,Yes,268759.5788,4.267556127,518.4202723999999,,-57.0232348,80.0,Healthcare,14.0,210.98875479999998,1.0,Foot_or_bicycle,Hightech,Yes,0.0,619.3696547999999
1763,Violets,3.0,153.728391,234.89254920000002,45_and_up,2687.067042,Yes,58.00157811,Yes,Male,By_16:00,0.46480452200000005,0.778989556,6046.0,20.25375724,10.5189966,86.34664954,693.0110073,64.82347266,4.500417452,9.954,3506.70815,Yes,21.01226302,6.116912132,4.583913505,53.90416444,51.24279701,80.0,Healthcare,11.0,808.1748334,1.0,Motorcycle_or_truck,Hightech,Yes,0.0,78.62961048
9572,Khakis,4.0,294.3033635,36044.35418,Below_30,9731.931095,No,596.3137353999999,Yes,Female,By_16:00,0.7826658040000001,0.725051175,8842.0,387.1254312,73.3553532,4448.4549640000005,94.08202511,16.00828925,19.67550333,1.158,46929.486560000005,Maybe,134997.7578,3.7018298260000004,367.4204102,3.027205542,98.10112116,70.0,Social,6.0,190.66349730000002,3.0,Motorcycle_or_truck,Industry_or_other,Yes,0.0,422.31761270000004
3859,Browns,6.0,128.5352877,9988.797517,45_and_up,1888.5473399999998,No,364.9850271,Yes,Female,After_16:00,0.970533922,0.16796201,9092.0,328.6641288,64.86295345,2988.7030170000003,985.7709489,89.12980147,18.12909619,6.9079999999999995,32366.651319999997,Maybe,54353.08267,6.800655813,233.1374759,85.18190694,42.84509592,100.0,Education,12.0,516.9545393,0.0,Motorcycle_or_truck,Student_or_Unemployed,No,0.0,91.74712713
6385,Yellows,1.0,1238.997757,120937.3488,Below_30,170991.3818,No,853.8069835000001,Yes,Male,By_16:00,0.526033516,,8637.0,529.8191273,55.5533909,3987.908659,879.9855725,48.73769067,23.01780023,5.3629999999999995,63357.19486,Maybe,85747.67562000001,5.264018471,292.82704049999995,12.10842084,412.9992524,70.0,Social,10.0,286.32301,1.0,Motorcycle_or_truck,Student_or_Unemployed,No,2.0,695.3741297
8650,Khakis,6.0,518.2867637,53314.12461,Below_30,,Yes,577.2031795,Yes,Male,After_16:00,0.11504023199999999,0.9933982720000001,8350.0,381.90648680000004,54.05180182,3849.795195,432.7659584,4.582835594,19.54242786,1.65,45119.5546,No,95232.86271,9.670569233,308.59822210000004,21.69937619,172.76225459999998,100.0,Education,10.0,244.04369730000002,3.0,Car,Public_Sector,Yes,4.0,405.25503829999997
1054,Browns,1.0,249.4995858,15531.92113,30-45,7009.838006,Yes,584.276721,Yes,Female,By_16:00,0.073139748,0.431432665,6887.0,456.6330927,71.56092457,2780.834953,853.5051970000001,9.046920086,21.368975,9.113,46818.55182,No,34878.13102,9.740499412,186.75687680000001,84.76056366,83.16652859,90.0,Environment,13.0,369.30033430000003,4.0,Motorcycle_or_truck,Services_or_Retail,No,0.0,309.2624997
9874,Turquoises,9.0,827.7586022,116611.9361,45_and_up,76417.50881,Yes,698.2364327,Yes,Male,By_16:00,0.8659397670000001,0.028490823,4200.0,461.267938,55.71988213,5148.838173,112.311875,50.97116281,21.47714921,5.8,55164.43316,Maybe,178616.3111,1.021444292,422.63022970000003,11.4049471,275.9195341,100.0,Education,15.0,88.44457816,0.0,Foot_or_bicycle,Public_Sector,Yes,2.0,481.6645311000001
7294,Turquoises,3.0,30.732938300000004,3799.0110229999996,30-45,125.1902568,Yes,654.4065732999999,Yes,Male,After_16:00,0.895655612,0.5397950979999999,3360.0,423.0505073,37.07175991,4554.510851,504.30162649999994,27.14157186,20.56819164,6.64,51030.88015,Yes,,8.563228438,370.8409836,88.5770875,10.24431277,100.0,Education,16.0,152.7219096,2.0,Motorcycle_or_truck,Industry_or_other,Yes,0.0,473.1540368
7957,Browns,4.0,645.8958985,168885.9764,30-45,46578.79993,No,1063.2462699999999,No,Female,By_16:00,0.864314485,0.798340081,9512.0,630.8784006,39.97603306,9106.022887000001,812.5551583,68.41092675,25.11729286,6.4879999999999995,82988.12461,Yes,615325.1043,3.5263501319999997,784.4266086,29.05614285,215.2986328,90.0,Environment,13.0,457.8221101,0.0,Public_or_other,Student_or_Unemployed,No,1.0,834.0260963
181,Reds,4.0,993.0311526,146645.8402,30-45,109908.8848,Yes,791.3452745,Yes,Male,By_16:00,0.36655139700000006,0.848176183,9247.0,506.5965505,79.32070063,5443.442036,941.5138847999999,80.36053861,22.50769981,2.753,61450.01816,Maybe,196271.0563,4.54666575,443.02489349999996,6.249882792999999,331.0103842,50.0,Other,9.0,100.2419767,2.0,Foot_or_bicycle,Services_or_Retail,No,0.0,582.2117793
7529,Browns,1.0,83.8670475,24588.19655,Below_30,819.4758666,Yes,1354.025641,No,Female,By_16:00,0.19698680300000002,0.998002683,3549.0,858.7534182,5.933439406000001,10512.92671,307.9152538,92.15766271,29.30449485,12.450999999999999,106339.3821,No,773594.1078,4.761949126,879.5419875,15.63573545,27.9556825,100.0,Education,12.0,713.6723258999999,3.0,Public_or_other,Services_or_Retail,No,1.0,986.3867323999999
318,Reds,8.0,949.5123986,139818.5049,30-45,100501.3703,No,803.6378063999999,Yes,Female,After_16:00,0.84539389,0.075555068,4047.0,487.6154494,8.829060499999999,5392.819498,634.1571723999999,88.82386140000001,22.08201643,7.952999999999999,61267.1053,Maybe,195150.8904,0.592272582,441.75885999999997,23.28834978,316.5041329,40.0,Foreign_Affairs,10.0,153.2559138,2.0,Motorcycle_or_truck,Hightech,Yes,2.0,641.2160318
8361,Whites,1.0,259.6434643,41836.38476,Below_30,7587.073216,No,743.9213577,Yes,Female,By_16:00,0.27415936,0.538042865,4274.0,486.92032620000003,88.02244819,5807.744506,3.033075016,60.98809659,,5.726,59009.547829999996,Maybe,233666.2647,3.8093462239999996,483.39038539999996,17.32921931,86.54782143,100.0,Education,10.0,25.75429932,2.0,Foot_or_bicycle,Services_or_Retail,No,0.0,514.7080512
4972,Blues,1.0,1562.971957,144761.6526,30-45,271962.2505,No,195.2435289,Yes,Female,After_16:00,0.919285723,0.7909878770000001,4396.0,,96.2015273,2987.662803,238.9731179,58.56716384,10.22444012,9.604,16461.859230000002,Maybe,77205.31556,3.018258165,277.8584452,29.21117854,,60.0,Financial,9.0,574.9133267000001,5.0,Car,Industry_or_other,No,,146.74485239999998
2588,Browns,8.0,565.6050682,22586.797130000003,30-45,35743.989819999995,No,554.6312492999999,Yes,Male,After_16:00,0.608347476,0.417788658,3466.0,419.20385,82.97409108,2036.4236870000002,772.5566237,8.56532217,20.47446825,12.534,43179.8459,Maybe,14352.423040000001,6.684150177,119.8015987,15.84604753,188.53502269999998,80.0,Healthcare,10.0,423.9450415,1.0,Foot_or_bicycle,Services_or_Retail,Yes,0.0,330.7352489
3792,Reds,5.0,458.9687233,96926.98865,Below_30,23568.79946,Yes,756.5493982,No,Male,After_16:00,0.676874975,0.566183567,8559.0,474.3921157,5.170517205,7284.313237,988.8365881000001,41.06889423,21.78054443,3.4410000000000003,60968.86395,Maybe,401389.2779,0.580256118,633.5529006,90.00315487,152.98957439999998,40.0,Foreign_Affairs,9.0,139.8114724,3.0,Public_or_other,Industry_or_other,Yes,0.0,532.4824079
3674,Turquoises,4.0,809.1238261,87879.25843,Below_30,73022.08194,Yes,678.2703176,Yes,Female,After_16:00,0.269580624,0.10335539699999999,9496.0,438.26340489999995,12.97357571,4134.838662,748.7212187000001,59.76067765,20.93474158,0.504,52157.70873,Yes,106165.9613,3.523996677,325.8311852,14.59825304,269.707942,70.0,Social,12.0,184.8037731,2.0,Public_or_other,Services_or_Retail,No,0.0,502.50026940000004
3789,Turquoises,4.0,494.03709469999995,73114.03314,30-45,27293.86247,Yes,692.5551876000001,Yes,Male,After_16:00,0.42338413799999997,0.6603832239999999,9664.0,444.474846,68.66446608,5328.739775999999,905.1926113,14.92329135,21.08257209,0.336,54519.60739,Yes,197117.3599,3.465630782,443.9790084,21.94932273,,90.0,Environment,11.0,78.96444103,1.0,Car,Public_Sector,Yes,1.0,496.2598507
6088,Khakis,7.0,,14720.22842,30-45,953.5615231,Yes,674.0822440000001,Yes,Female,By_16:00,0.443874414,0.07423943200000001,4459.0,435.1606551,14.42473501,5741.099004,881.8633766,88.90676228,20.86050467,5.541,53844.74885,No,237244.7534,6.494665352999999,487.0777693,51.36001529,30.22151564,80.0,Healthcare,8.0,,2.0,Motorcycle_or_truck,Hightech,Yes,1.0,467.459755
877,Turquoises,7.0,124.25706299999999,17616.171580000002,30-45,1766.9543219999998,No,706.7334842,Yes,Male,After_16:00,0.183769157,0.340823662,7828.0,447.8600863,94.01278205,5148.879989999999,859.3487857999999,75.03099106,21.16270508,2.1719999999999997,55071.057779999996,Maybe,180893.6844,2.262649499,425.3159818,47.19858973,41.41902101,60.0,,9.0,93.76345587,3.0,Car,Services_or_Retail,No,0.0,522.2556168000001
5626,Turquoises,3.0,593.296558,79804.75657,45_and_up,39318.96616,No,681.0773688999999,Yes,Male,By_16:00,0.509032732,0.45099686299999997,6928.0,445.7217802,48.23787904,4926.765634,90.48761171,22.80866869,21.11212401,3.072,53538.21906,Maybe,162838.2424,4.337336521,403.53220739999995,86.44539532,197.76551930000002,80.0,Healthcare,14.0,112.63623090000002,1.0,Foot_or_bicycle,Public_Sector,Yes,0.0,479.149092
7072,Turquoises,10.0,279.87709689999997,46023.157810000004,30-45,8806.757851999999,Yes,726.2707004,Yes,Female,By_16:00,0.109851659,0.88871667,3386.0,431.26785369999993,9.090717509,5795.753715,892.483986,60.02212646,20.76698952,6.614,56172.5817,No,243366.3991,3.915102205,493.32180080000006,33.39210919,93.29236564,100.0,Education,12.0,103.8733624,2.0,Motorcycle_or_truck,Industry_or_other,Yes,0.0,577.5949041
2107,Browns,1.0,898.7788114,17083.7831,Below_30,90065.52092000001,Yes,547.6943852,Yes,Male,By_16:00,0.329149753,0.252921847,3212.0,483.18514410000006,30.43241894,1536.603461,108.6604202,45.20027582,21.98147275,12.788,44551.977419999996,No,3251.65871,2.7025449860000004,57.02331725,2.461653645,299.59293710000003,80.0,Healthcare,,527.4122286999999,0.0,Public_or_other,Student_or_Unemployed,Yes,0.0,214.25084750000002
6651,Blues,7.0,1554.1405849999999,180402.66,45_and_up,268900.5977,No,630.1774391,Yes,Male,After_16:00,0.325099326,0.137415437,9678.0,515.3121098,57.16125816,4512.986016,705.6863592,91.61957609,22.700487,4.322,53197.338260000004,Yes,121268.4368,7.320942043,348.2361797,80.28255263,518.0468616999999,90.0,Environment,13.0,281.7207995,2.0,Public_or_other,Public_Sector,Yes,1.0,263.1458445
3753,Turquoises,6.0,295.9500401,33282.11825,30-45,9840.475153,Yes,584.8569107999999,Yes,Male,After_16:00,0.7945601959999999,0.617237539,8048.0,366.8772517,63.72250998,4107.511598,19.86911241,25.00751724,19.15404009,1.952,45248.33861,Maybe,113822.3693,5.66257135,337.37570939999995,34.290620200000006,98.65001338,60.0,Financial,8.0,218.05648119999998,1.0,Motorcycle_or_truck,Public_Sector,Yes,0.0,
6115,Khakis,1.0,317.3601609,29859.80902,30-45,11306.616909999999,No,499.67224510000005,Yes,Female,After_16:00,0.960026446,0.152238698,8098.0,318.26965010000004,76.46995203,3459.1817770000002,167.4376901,98.45265832,17.84011351,1.902,38770.208439999995,No,79673.10551000001,1.912710161,282.2642477,77.88268677,105.7867203,100.0,Education,9.0,311.9826079,0.0,Car,Industry_or_other,Yes,0.0,370.0062704
1241,Pinks,3.0,,7827.308917,30-45,663.6837421,No,590.0018110000001,Yes,Female,After_16:00,0.528661795,0.14782805400000001,8596.0,389.29391489999995,17.88037999,3900.504265,345.289412,37.50676247,19.73053256,1.4040000000000001,46038.0048,No,97463.62226,9.174867877999999,312.1916435,41.31237171,25.07212823,100.0,Education,9.0,233.33243650000003,1.0,Motorcycle_or_truck,Services_or_Retail,Yes,5.0,416.83624649999996
8381,Purples,7.0,151.5138352,46247.72761,45_and_up,2611.220419,Yes,1417.773543,No,Male,By_16:00,0.14424573,0.568770815,4361.0,925.5029561000001,7.401375892000001,11008.13553,962.9413784,76.11383684,30.42208007,11.639000000000001,112296.8378,Maybe,838530.2289,5.356594848,915.712962,21.68127869,50.50461174,100.0,Education,16.0,768.4734718,2.0,Motorcycle_or_truck,Services_or_Retail,Yes,1.0,986.4991721000001
6315,Turquoises,3.0,430.8436393999999,64260.95857,Below_30,20778.75251,Yes,608.7749855000001,Yes,Male,After_16:00,0.368963865,0.169499956,3247.0,401.6686452,39.42956573,5277.8811399999995,515.4076077,8.426703606,20.04167271,6.752999999999999,49056.49341,No,200215.4266,8.072586718,447.45438499999995,0.763933477,143.61454650000002,90.0,Environment,15.0,146.43957419999998,3.0,Car,Public_Sector,Yes,0.0,405.05553260000005
757,Reds,6.0,678.2932889,139628.0932,Below_30,51356.296180000005,No,833.9251555,No,Male,After_16:00,0.264826318,0.675715038,6799.0,518.2391484,84.71752251,7212.0410870000005,799.6900855,46.53927363,22.76486653,5.2010000000000005,66022.28614,Yes,381375.7578,4.744572721,617.5562791,21.2048375,226.097763,50.0,Other,,163.0530911,2.0,Foot_or_bicycle,Student_or_Unemployed,Yes,0.0,611.5085882000001
9460,Blues,4.0,1104.4661,188776.176,Below_30,135916.5293,No,1082.889193,No,Female,After_16:00,0.6077859760000001,0.5599030779999999,8864.0,875.7914489,75.56477252,6879.205448000001,554.6599133,74.96512367,29.59377382,5.136,89976.70478,Maybe,262925.1302,6.864040284,512.762255,29.43906267,368.15536660000004,70.0,Social,11.0,376.2396751,2.0,Public_or_other,Hightech,Yes,1.0,486.80132740000005
8492,Greys,2.0,45.802548,9141.506212999999,Below_30,258.3645608,No,841.7245899000001,No,Female,By_16:00,0.190668161,0.265697714,3416.0,594.3901626,7.218876737,7176.3333840000005,533.4173228999999,17.44156971,24.38011818,8.584,69087.35721,Yes,358507.9164,5.397979117,598.7553058999999,84.16741411,15.267516,30.0,Military,9.0,136.7501555,2.0,Public_or_other,Hightech,Yes,0.0,493.795826
5916,Turquoises,2.0,,35921.68672,Below_30,6891.073791,Yes,702.9662206,Yes,Male,By_16:00,0.8040054,0.782976771,6385.0,411.2573666,70.59948819,5179.101176,363.59731360000006,56.47348508,20.27948142,3.615,53613.14769,Maybe,189798.4544,3.3452008060000002,435.6586443,92.70730673,82.45374489,60.0,Financial,11.0,134.8450833,0.0,Public_or_other,Student_or_Unemployed,No,0.0,578.5374525000001
4988,Turquoises,8.0,29.03137345,3619.4178509999997,30-45,113.3238628,Yes,695.8317795,Yes,Male,By_16:00,0.225502153,0.6486288929999999,8512.0,447.1000039,81.64475844,4634.379083,424.2810241,8.011760586,21.14473939,1.4880000000000002,53904.144060000006,No,139889.3952,3.751799234,374.01790760000006,75.20630942,9.677124484,70.0,Social,10.0,137.17078,4.0,Car,,Yes,0.0,512.0799705000001
6397,Khakis,3.0,345.8933765,34864.528,Below_30,13418.87867,Yes,560.2936947000001,Yes,Male,After_16:00,0.292661358,0.593529776,7284.0,367.72627880000005,6.170152407000001,3759.3203479999997,718.0163965,85.63281707,19.17619041,2.716,43717.34038,No,91437.76415,5.40187808,302.3867791,56.67857984,115.2977922,60.0,Financial,6.0,258.66968560000004,1.0,Foot_or_bicycle,Hightech,Yes,1.0,398.2027318
3218,Turquoises,2.0,359.06089310000004,50867.36726,Below_30,14454.65641,Yes,684.6079884,Yes,Female,By_16:00,0.54207964,0.252374768,7674.0,430.4393925,29.50259065,5110.912824,355.1970604,75.73905040000001,20.74703334,2.326,53376.97023,No,180627.8933,9.191940681,425.00340389999997,89.90815647,119.68696440000001,100.0,Education,16.0,102.72286329999999,5.0,Motorcycle_or_truck,Hightech,Yes,0.0,509.42438939999994
484,Blues,9.0,1610.7934619999999,30504.256489999996,Below_30,288841.9954,No,385.40174410000003,Yes,Female,,0.64332047,0.121780988,4132.0,148.9452384,86.42950086,866.0127819,545.304975,65.62582091,12.20431229,9.868,24182.23809,Maybe,3227.629534,5.914761014,56.812230500000005,13.43553856,536.9311541000001,60.0,Financial,9.0,565.4465907000001,2.0,Public_or_other,Hightech,Yes,0.0,491.339613
95,Greens,9.0,165.211456,16362.90876,45_and_up,3097.8288390000002,Yes,845.1163779999999,Yes,Female,By_16:00,0.810021654,0.28932354600000004,8133.0,516.9684697,24.27996509,4005.2034289999997,781.9957347,88.94151177,22.73694064,1.867,62514.706770000004,No,88284.24555,6.392730582,297.12664900000004,4.043583991,55.07048532,80.0,Healthcare,10.0,285.5718257,2.0,Foot_or_bicycle,Student_or_Unemployed,Yes,1.0,700.2641808
4366,Yellows,9.0,1002.4729189999999,78002.97782999999,30-45,112005.4859,No,782.0457267,Yes,Female,After_16:00,0.909595328,0.44931204399999997,9284.0,519.5793467,81.96533378,3373.475451,587.8812505,58.83659574,22.7942832,4.716,58924.41899,Maybe,54490.34726,6.419098367999999,233.4316758,61.51206866,334.1576398,100.0,Education,16.0,279.62951360000005,1.0,Public_or_other,Public_Sector,No,0.0,582.1622942
4240,Greys,4.0,173.8968716,28802.13037,30-45,3427.979176,No,739.4896082,Yes,Male,After_16:00,0.154148425,0.9337990629999999,4942.0,509.4867608,96.59919797,5987.803052,233.2687387,41.26078826,22.57181341,7.058,59844.05956,Yes,246892.669,2.9733316860000003,496.88295300000004,95.99165791,57.96562388,30.0,Military,5.0,38.78119506,2.0,Foot_or_bicycle,Industry_or_other,No,0.0,462.5264563
1654,Greys,6.0,282.93341969999994,47902.59526,45_and_up,8998.902252,No,795.9356129,No,Male,After_16:00,0.88030605,0.55074985,7150.0,596.5214815,45.71545131,6272.25156,205.558304,48.12362066,24.42378925,4.85,65936.98604,Yes,257983.5997,2.8774157910000002,507.9208597,89.09511552,94.31113992,40.0,Foreign_Affairs,8.0,127.84094840000002,2.0,Foot_or_bicycle,Industry_or_other,No,1.0,416.5483871
1913,Violets,3.0,184.9103639,302.8868877,30-45,3870.730418,No,5.354726107,Yes,Male,By_16:00,0.99420761,0.03806923,7585.0,0.401553624,92.39311693,49.94370943,993.0979800000001,20.2886211,0.633682589,8.415,322.7517175,Yes,24.14798783,6.801590344,4.914060218,19.01889555,61.63678796,100.0,Education,13.0,857.7796458999999,2.0,Public_or_other,Industry_or_other,No,0.0,9.003843646
7337,Greys,4.0,701.1729349,154424.5113,Below_30,54870.77816,Yes,762.8303397999999,No,Female,By_16:00,0.133761084,0.850621937,3516.0,531.1288149000001,41.93952368,7669.379937999999,597.11203,78.33684261,23.04623212,8.484,63784.59955,Maybe,436540.6519,7.253077556,660.7122307999999,6.507151481,233.7243116,40.0,Foreign_Affairs,,175.2295026,5.0,Foot_or_bicycle,Services_or_Retail,No,0.0,437.48636669999996
5082,Whites,7.0,778.0982907,135970.8408,30-45,67540.13831000001,Yes,659.7386845999999,No,Male,After_16:00,0.515240181,0.805533646,6242.0,410.35847689999997,77.81663097,6063.146184,575.5691191000001,61.62098362,20.25730675,3.758,52688.42895,No,274830.6423,8.60251487,524.242923,95.82302079,259.3660969,80.0,Healthcare,9.0,95.91721949,0.0,Public_or_other,Student_or_Unemployed,No,0.0,475.983526
5159,Browns,2.0,786.7787913999999,252699.6798,45_and_up,69052.35588999999,No,1324.7420539999998,No,Male,By_16:00,0.613099431,0.138724619,7207.0,828.4948195000001,84.29906275,11292.46848,600.2287904,47.41399933,28.78358594,8.793,104866.0283,Yes,928424.5240000001,2.360574841,963.5478836000001,90.34279035,262.2595971,90.0,Environment,13.0,734.4798889,0.0,Foot_or_bicycle,Hightech,No,1.0,965.4838563
3782,Turquoises,5.0,328.2913343,44554.74419,45_and_up,12094.45269,No,679.1794147,Yes,Female,By_16:00,0.511649939,0.06490494299999999,7853.0,437.46585610000005,11.16716296,4946.444377000001,956.6827754000001,69.57734199,20.91568445,2.147,53177.11082,Yes,165772.1538,3.5657504689999997,407.1512665,60.98559655,109.43044479999999,80.0,Healthcare,14.0,112.4360522,2.0,Motorcycle_or_truck,Industry_or_other,Yes,0.0,489.4900352
9260,Purples,6.0,498.3362076,142094.9671,Below_30,27769.3316,Yes,1445.1641,No,Male,After_16:00,0.483659877,0.502259274,8686.0,996.8478120999999,82.36633157,10547.85835,820.2503875,1.765687391,31.5728968,7.314,115563.0359,Yes,731736.9993,8.43076427,855.4162725,16.85731432,166.11206919999998,90.0,Environment,13.0,744.133411,1.0,Motorcycle_or_truck,Hightech,No,1.0,924.9188843000001
3050,Turquoises,10.0,305.9424998,44037.82975,45_and_up,10512.07119,Yes,659.6605318,Yes,Female,After_16:00,0.66277415,0.09786380900000001,9235.0,387.81561600000003,95.60048941,5093.876959,616.5720127000001,32.28824781,19.69303471,0.765,50668.69194,Maybe,186472.4616,5.970535787999999,431.8245727,91.23211608,101.9808333,60.0,Financial,8.0,135.8322503,2.0,Public_or_other,Public_Sector,No,1.0,534.8880401
5424,Purples,9.0,566.2772171,152742.1997,30-45,35828.74647,No,1340.508278,No,Female,By_16:00,,,5382.0,920.1976699999999,34.49774384,9932.30837,984.2697741000001,30.12804037,30.334760100000004,10.618,107216.98300000001,Yes,654790.5648,4.791187162,809.1913030000001,32.40617935,188.7590724,80.0,Healthcare,,635.4569239,4.0,Motorcycle_or_truck,Public_Sector,No,0.0,862.8224888
