,Avg_education_importance,Is_Most_Important_Issue__6,Overall_happiness_score,Avg_monthly_household_cost,Avg_Satisfaction_with_previous_vote,Avg_size_per_room,Number_of_differnt_parties_voted_for,Phone_minutes_10_years,Political_interest_Total_Score,Avg_monthly_expense_on_pets_or_plants,Married,Weighted_education_rank,Is_Most_Important_Issue__5,Is_Most_Important_Issue__3,Avg_environmental_importance,Last_school_grades,Avg_Residancy_Altitude,Vote
4837,0.919458872,0,-0.111716811,0.717125443,0.376992272,0.965439356,-0.672373551,-0.094997242,-0.584880621,-0.987418455,-1,0.150859709,1,0,0.564625939,-1,0.653534404,3
3885,0.955789325,0,-0.014860223,0.923467689,-1.152562858,1.013604739,-1.049291735,0.293092374,-0.036854091,-0.866251282,-1,0.49231035,0,0,0.737164073,0.142857143,1.310331221,6
336,-0.857147748,0,-0.02410707,-0.725683188,-0.395581347,-0.955568568,-0.295455367,-0.450433623,-0.201515287,-0.957870696,1,-0.294357145,0,0,-0.625368416,0.428571429,-0.486364024,9
3751,1.027743349,0,-0.504188864,0.582416752,-0.237520183,1.110049051,1.966053735,-0.193464799,-0.028869259,-0.127483082,-1,0.046658147,0,0,0.295423697,1,0.477403005,0
2309,-2.92889388,0,-0.320471347,-1.28052593,-0.564342976,-2.120553747,-0.295455367,0.714832156,1.439761326,0.297167801,-1,0.79102567,0,0,-1.418041127,0.428571429,1.400324142,0
1551,-2.164736106,0,-0.801293714,-1.831696801,0.739585193,-1.825597053,-1.049291735,-0.601265744,1.464997837,-0.774747106,1,-0.616319445,0,0,-1.894453396,-0.142857143,-1.23148334,7
905,-0.028904083,0,-0.163647918,-0.216705522,-0.823599972,-0.165928972,-1.426209919,-0.28708556,-0.953908398,-0.978348286,1,-0.063099766,0,0,-0.217857093,0.142857143,0.073967328,4
2810,0.244785614,0,0.238210456,0.10185944,-1.099977712,0.099054952,1.212217368,-0.533144217,-0.260523212,-0.889525549,1,-0.447185033,0,0,0.252064872,0.714285714,-0.610558315,2
6242,-0.095244126,0,-0.129922282,-0.20982673,-0.358894036,-0.235993002,-1.426209919,-0.312306627,-0.929446721,-0.46848079,1,-0.094940882,0,0,-0.237419112,0.428571429,0.002715153,4
1369,-0.192475957,0,-0.008331022,-0.149908774,-0.948948283,-0.19953228,-1.049291735,-0.365617506,-0.921854841,-0.835945428,1,-0.1662364,1,0,-0.121462687,-1,-0.127328115,3
7698,1.97125686,0,0.683615302,2.381577457,0.18438389,2.503899931,0.081462816,0.601053034,1.718904871,-0.79968611,-1,0.715567306,0,0,2.305086919,0.142857143,1.96234304,10
6763,0.286897314,0,0.282361395,0.154574861,0.099085893,0.183873954,1.212217368,-0.536497344,-0.19179041,-0.982454512,1,-0.454282541,0,0,0.319045285,0.714285714,-0.616704199,2
3798,-1.800303443,0,-0.805797388,-1.785655143,0.840781025,-1.629465893,1.212217368,-0.655451178,1.660902159,-0.937037491,1,-0.85424606,0,0,-1.817720822,0.714285714,-1.654102881,1
5473,1.370263053,0,0.85368461,1.923475415,0.83252638,1.588293192,1.589135552,0.981095528,1.830615741,-0.970735235,-1,0.956269586,0,0,1.927054054,1,2.280473161,1
4749,-0.043660081,0,0.106258578,-0.104281609,-1.760655033,-0.181615942,1.212217368,-0.410964997,-0.74446701,-0.870798738,1,-0.232073648,0,0,-0.022135808,0.714285714,-0.24981888,9
7137,0.350157388,0,-0.063437434,0.142821165,-1.573855476,0.25717876,1.589135552,-0.354700218,-1.08722526,-0.69376979,1,-0.151148464,0,0,0.116109221,0.714285714,-0.028951054,9
9552,-0.327998924,0,-0.264393326,-0.555641872,0.119569641,-0.472425612,-0.295455367,-0.515607635,-0.209335096,-0.79464,1,-0.411458109,0,0,-0.55494534,1,-0.635381157,4
826,-0.800243565,0,0.01862912,-0.712150701,-0.478739251,-0.907235658,-1.426209919,-0.51337437,-0.080449223,-0.985956157,1,-0.4070628,0,0,-0.577654015,-0.142857143,-0.693359175,11
6358,-0.219491667,0,-0.130274879,-0.252986314,0.127212831,-0.364021851,-0.295455367,-0.209229997,-0.851437526,-0.996449778,-1,0.028995516,0,0,-0.295750807,0.714285714,0.218912444,11
9452,1.994537528,0,-0.958306207,1.410867782,-0.08954803,2.541327622,0.835299184,-0.007705306,1.655333525,0.618480253,-1,0.235910913,0,0,0.819875965,0.714285714,1.055733901,0
1209,-0.452803005,1,0.419235515,-0.115298812,-0.527961393,-0.593183998,0.081462816,-0.157547657,-0.146211406,-0.988278648,-1,0.08582585,0,0,0.049355516,-0.428571429,0.292042508,5
4374,-2.584089037,0,-0.476009991,-1.70947963,0.099085893,-2.006961725,-0.672373551,-0.501870494,0.972236948,-0.638690485,1,-0.384919229,0,0,-1.684546557,0.142857143,-0.819024297,7
9708,0.113627137,0,-0.412337343,-0.283704607,0.904372363,-0.011382146,-1.426209919,-0.473998437,-0.261810035,-0.782945377,1,-0.334315674,1,0,-0.384677696,-1,-0.418313776,5
8418,1.89733736,0,0.863022762,2.460937171,0.234523215,2.386030487,1.589135552,0.903501835,2.1246676,-0.915211081,-1,0.90959151,0,0,2.421203194,0.714285714,2.313399229,1
9191,-0.352856108,0,-0.264477816,-0.558339645,-1.195058993,-0.496812043,-0.672373551,-0.495343784,-0.261052612,-0.998651375,1,-0.372703484,0,0,-0.563472239,0.714285714,-0.565389399,4
5984,0.080069343,0,0.025377853,0.001755651,-1.363820622,-0.048262055,0.081462816,-0.302641829,-1.122915429,-0.990327814,1,-0.08260866,0,0,0.015846769,0.428571429,0.054813069,9
2542,-2.275607004,0,-0.981762514,-2.044278163,0.593447405,-1.878159442,0.081462816,-0.655170396,2.023855265,-0.971149607,1,-0.85202456,0,0,-2.124193077,-0.142857143,-1.687820157,1
7921,1.442354301,0,0.943080774,2.007131555,0.565626194,1.692981517,-0.672373551,0.831618237,1.869876649,-0.987535665,-1,0.865306501,0,0,2.053927014,0.142857143,2.123430988,1
7711,-0.053071345,1,0.026058274,-0.199398037,5.43E-16,-0.191590301,-1.426209919,-0.490532875,-0.544982836,-0.930858432,1,-0.363849261,0,0,-0.120580344,-0.428571429,-0.501981417,5
6137,0.443370987,0,0.241792696,0.706100605,1.60479427,0.367160138,1.212217368,0.52904799,0.467956464,-0.965835576,-1,0.765610317,0,0,0.606621434,1,1.731528498,1
9555,0.253404041,0,-0.573600853,-0.348018341,-0.512980741,0.145499461,0.458381,-0.590729514,0.380903109,0.475825376,1,-0.585623133,0,0,-0.470702639,0.428571429,-0.872372259,0
5314,0.378906425,1,0.037235993,0.229458726,0.189275532,0.290849412,-1.426209919,-0.327419085,-1.124051556,-0.717397031,1,-0.114568444,0,0,0.230678067,-0.428571429,0.04576219,8
7651,0.846475176,0,-0.040938359,0.762009097,-0.253723745,0.86975652,-1.426209919,0.127776464,-0.361242686,-0.846713237,-1,0.357402487,0,0,0.602280536,-0.142857143,1.03178622,6
5169,0.681215594,0,0.73045538,0.955753725,1.204291128,0.658407866,0.458381,-0.013782665,0.462064099,-0.885603499,-1,0.230179996,0,0,1.119557591,0.714285714,0.757560609,1
8029,-0.293204734,0,0.075793817,-0.364638432,-0.212756248,-0.438010478,-1.049291735,-0.519586107,-0.312917165,-0.930857187,1,-0.419370583,0,0,-0.239519056,0.142857143,-0.645180254,6
5129,0.938563005,0,0.518819184,1.164814209,1.097286472,0.990722431,-0.295455367,0.258804222,0.401711421,-0.839782331,-1,0.465350299,0,0,1.181895463,0.428571429,1.255561374,1
8760,-0.850690917,0,0.002477213,-0.745657765,-1.444838433,-0.950128232,-0.672373551,-0.507543004,-0.070254566,-0.985497614,1,-0.395736722,0,0,-0.61630336,0.714285714,-0.678360695,11
134,-0.506348429,0,-0.224552158,-0.667687945,0.732553458,-0.64370586,0.081462816,-0.534280676,-0.098117714,0.050685301,1,-0.449580306,0,0,-0.632957647,-0.142857143,-0.734022456,12
2657,-3.347247857,0,-0.97451652,-2.320038533,1.797096924,-2.215321359,-1.34E-15,-0.664438084,2.349249698,-0.942956838,1,-0.980719166,0,0,-2.348788076,-0.142857143,-1.984040823,10
7146,0.730826432,0,0.100073858,0.453938239,0.861264773,0.721080914,-0.295455367,-0.210380965,-0.76020202,-0.560864463,-1,0.027694133,0,0,0.305717481,0.428571429,0.381988925,12
8832,-0.325850098,0,-0.007947937,-0.24348764,0.510595228,-0.470309655,-1.049291735,-0.155470538,-0.769729786,-0.958581306,-1,0.08804783,0,1,-0.245196871,-0.714285714,0.315015441,3
9310,2.037115714,0,0.938075323,2.577328256,0.846284121,2.610157553,0.081462816,0.581831742,2.102386117,-0.539875851,-1,0.702489566,0,0,2.589661339,0.142857143,1.953680318,7
3905,0.231355462,0,0.009130163,-0.003204273,0.06392722,0.120402724,1.589135552,-0.505734789,-0.554098764,-0.831981434,1,-0.392267549,0,0,-0.00319887,0.290776018,-0.508433676,9
7924,0.084452726,0,-0.060180615,-0.120699029,-1.114958364,-0.043461977,-1.049291735,-0.451147919,-0.73891994,-0.969812226,1,-0.295535062,0,0,-0.101063845,-0.142857143,-0.349446355,9
7280,0.355620283,0,-0.066833029,0.252148441,0.488888569,0.263559706,-1.803128103,-0.104879098,-1.036366367,-0.975383904,-1,0.140832095,0,1,0.167207837,-0.714285714,0.527377374,3
2705,0.213445984,0,-0.630459549,-0.324449143,0.480328197,0.10011381,0.835299184,-0.487063099,0.169347209,-0.976834654,1,-0.320710531,0,0,-0.509062037,1,-0.445474564,1
3616,0.686473764,0,-0.034162294,0.560366519,-0.190132406,0.665019029,-1.426209919,-0.06337669,-0.783621376,-0.75451597,-1,0.182375414,0,1,0.451339817,-0.714285714,0.667643656,3
93,0.235285752,1,-0.264416783,-0.058438448,-0.923572893,0.124866762,-0.672373551,-0.373455139,-0.756511353,-0.661735335,1,-0.177238759,0,0,-0.144870403,-0.428571429,-0.09876205,5
9099,0.927484415,0,-0.004668588,0.852304402,-0.275736132,0.976048648,-0.672373551,0.124234154,-0.305774049,-0.836465912,-1,0.354364708,0,0,0.699089357,1,1.042225039,6
5190,1.449084984,0,0.690328022,1.811697997,1.311601512,1.702827115,0.458381,0.517236185,1.21803655,-0.994737965,-1,0.657784484,0,0,1.804890363,1,1.730220632,1
7586,0.352107697,0,0.248749001,0.220058232,-0.536216038,0.259455898,0.458381,-0.494735783,-0.384815112,-0.909675184,1,-0.371577606,0,0,0.35084984,0.714285714,-0.44786581,2
6048,1.395907398,0,0.327995515,1.422767394,1.095757834,1.625372367,0.458381,-0.008379637,0.23053297,-0.995272532,-1,0.235276334,0,0,1.369726092,-0.142857143,0.914781632,7
3870,-0.126501019,0,-0.022660565,-0.23999677,-1.575078386,-0.268593118,-0.672373551,-0.430950483,-0.71756983,-0.990677346,1,-0.262953772,0,0,-0.193272872,-0.142857143,-0.321823626,9
351,0.006149167,0,0.063094325,-0.088156493,0.021431085,-0.128428727,0.081462816,-0.409047518,-0.813405796,-0.809275325,1,-0.229175925,0,0,-0.026189624,0.428571429,-0.236192675,9
8956,-2.252136709,0,0.204163572,-1.229943084,1.520719183,-1.867309118,-0.672373551,-0.433552748,0.603481181,0.272097148,1,-0.267070315,0,0,-0.987072431,-0.142857143,-0.573565991,0
3336,0.934038397,0,0.265356911,0.72142941,-0.92907599,0.984725512,-1.426209919,0.17344461,-0.225971216,-0.831501448,-1,0.395974316,0,0,0.72526308,-0.142857143,1.122691447,6
1117,0.145081482,0,0.055731241,0.083858477,0.070041772,0.023461843,-1.049291735,-0.263881915,-1.164129311,-0.99884912,1,-0.034732728,0,1,0.094843867,-0.714285714,0.156817141,8
4611,0.181695245,0,0.300608223,0.089072829,0.196307266,0.064357331,0.835299184,-0.526346957,-0.199894975,-0.650891484,1,-0.433069893,0,0,0.264515214,0.142857143,-0.594591559,2
7435,0.477268012,0,-0.235118456,0.239677479,1.23455816,0.40773578,0.458381,-0.176731446,-0.863085292,-0.985226963,-1,0.065085099,0,0,0.097336817,0.428571429,0.405301172,12
5967,0.467025219,0,-0.102859973,0.333165138,5.43E-16,0.395442211,-1.426209919,-0.082798114,-0.92965972,-0.979777145,-1,0.163119556,0,1,0.331319747,-0.714285714,0.589889751,3
9717,0.044620118,0,-0.081888986,-0.091590022,-0.277876225,-0.086890763,0.081462816,-0.33031425,-1.050872881,-0.945505533,1,-0.118378455,0,0,-0.107380363,0.142857143,-0.019115543,9
2299,-0.139436164,0,-0.149367687,-0.365482098,0.207007732,-0.282007049,-1.049291735,-0.513695363,-0.391794888,-0.991038453,1,-0.407692543,0,0,-0.33646529,0.142857143,-0.599167206,6
1031,-0.251313749,0,0.094883366,-0.290589053,-0.628851497,-0.396142658,0.081462816,-0.466747087,-0.49760665,-0.988615653,1,-0.321768902,0,0,-0.180263759,0.714285714,-0.453151543,9
6561,-0.122245404,1,-0.106622885,-0.293775833,-1.192918899,-0.264170119,0.081462816,-0.455979327,-0.623530746,-0.90257253,1,-0.303554639,0,0,-0.270425322,-0.428571429,-0.398372763,5
4785,-0.25875646,0,-0.119627083,-0.337553311,-1.313987025,-0.403615827,-0.672373551,-0.259023912,-0.7706032,-0.879257488,1,-0.142432308,0,0,-0.340436056,-0.142857143,-0.113188668,9
2970,-0.476355213,0,-0.218095134,-0.623270463,-1.747814474,-0.615501538,-1.426209919,-0.504562019,-0.216079975,-0.973419224,1,-0.390028061,0,0,-0.599664573,0.428571429,-0.616449408,6
6640,1.488036796,0,0.834701717,1.97782685,0.720324354,1.760045529,0.458381,0.739458569,1.653007049,-0.997696952,-1,0.806943162,0,0,1.991314037,0.142857143,2.02265415,1
475,2.001703401,0,-0.787880045,1.499648081,0.952677322,2.552877423,1.212217368,-0.02054455,1.401978893,-0.160948073,-1,0.223772035,0,0,0.972970142,0.714285714,1.034407554,0
8266,0.231180797,0,-0.077935776,0.04329781,0.923633201,0.120204435,-1.049291735,-0.350411087,-1.091183088,-0.977845251,1,-0.145293653,0,1,0.019691532,-0.714285714,-0.038712916,3
9805,0.100925288,0,-0.168153474,-0.117510458,0.799813528,-0.025377162,-1.426209919,-0.380525142,-0.873333386,-0.795691184,1,-0.187291284,0,1,-0.156033126,-0.714285714,-0.140804607,3
8632,1.204218257,0,0.576360195,1.475494356,1.230583701,1.244104621,-0.295455367,0.666012432,1.0184007,-0.976515682,-1,0.759044906,0,0,1.439185263,-0.142857143,1.852834406,1
6737,0.876725876,0,0.881735484,1.388540845,0.679356858,0.909241365,1.589135552,0.62936283,2.52E-16,-0.805185738,-1,0.734649141,0,0,1.492849521,1,1.755343649,1
3297,-0.114132058,0,-0.17959915,-0.335006834,-0.530101486,-0.255724123,-0.672373551,-0.472920978,-0.521891577,-0.72812158,1,-0.332436468,0,0,-0.333533653,0.714285714,-0.452018194,4
4271,-0.945614907,0,-0.567748575,-1.204291351,1.407294248,-1.028975961,-0.295455367,-0.631274202,0.884036248,-0.972852091,1,-0.721713792,0,0,-1.21633427,0.428571429,-1.3104075,1
8825,-0.768089714,0,0.519821424,-0.55736815,0.850870035,-0.879538867,-1.049291735,-0.631348232,0.834314853,0.164456134,1,-0.722023187,0,0,-0.179228367,-0.142857143,-1.28819669,0
8122,1.317105177,0,0.347790519,1.520979041,0.100308803,1.511997076,0.458381,0.565177969,0.766450521,-0.968758578,-1,0.699175266,0,0,1.394907787,0.428571429,1.764429267,10
4157,-0.113098794,0,-0.010794577,-0.168406581,-0.502280275,-0.25464722,-0.295455367,-0.323542425,-0.957691356,-0.696001644,1,-0.109492317,0,0,-0.14799991,0.428571429,-0.027808103,9
5105,0.091367414,0,-0.074658377,-0.116936553,-0.673181998,-0.035879426,0.458381,-0.450196771,-0.742923267,-0.918213153,1,-0.293966997,0,0,-0.099634652,0.714285714,-0.345306999,9
4488,-0.704509614,0,-0.131113932,-0.63081155,-0.771320554,-0.823951217,-1.049291735,-0.343841042,-0.428638316,-0.785346234,1,-0.13640227,1,0,-0.609696561,-1,-0.16584902,5
7914,-0.364009764,0,-0.231915527,-0.557593392,0.120792552,-0.507700303,-2.180046286,-0.507010706,-0.252419684,-0.919899234,1,-0.394713411,0,0,-0.545709733,-0.142857143,-0.608914073,4
9200,0.010899534,1,0.204938123,0.032751425,0.301783285,-0.123321249,-1.049291735,-0.317801874,-0.777001315,-0.910312511,1,-0.102028295,0,0,0.121987337,-0.428571429,0.006424783,8
375,-0.254594799,0,-0.161379782,-0.390352029,-1.239389493,-0.399438976,0.081462816,-0.41466911,-0.620936505,-0.848615616,1,-0.237702544,0,0,-0.390459507,0.428571429,-0.293757975,9
5826,-0.234513201,0,-0.007169543,-0.293224269,-0.024428053,-0.37921843,0.081462816,-0.327329178,-0.718948542,-0.769344516,1,-0.221135904,0,0,-0.241154716,0.428571429,-0.259162775,9
6989,-0.830272636,0,0.166500938,-0.454896657,1.501152618,-0.932850387,0.081462816,-0.102582383,-0.247032738,-0.999647184,-1,0.143170532,0,0,-0.370677771,-0.142857143,0.349291484,12
5971,-0.051004059,0,0.021870413,-0.166291122,-1.70134388,-0.189401372,-0.295455367,-0.436391146,-0.731063761,-0.53195085,1,-0.27158692,0,0,-0.107032335,0.142857143,-0.326161996,9
8404,1.384458227,0,0.719885724,1.778660772,0.40511921,1.608796087,0.458381,0.584486343,2.52E-16,-0.909090054,-1,0.704301669,0,0,1.780309456,1,1.804351467,1
2295,-0.813194248,0,-0.024409982,-0.748211825,-0.365314315,-0.918312387,-1.049291735,-0.522852794,-0.048686753,-0.987860529,1,-0.425948961,0,0,-0.625136009,0.142857143,-0.730971114,11
2107,0.21465945,0,-0.583764705,-0.493832152,2.089678227,0.101485764,-1.34E-15,-0.659187097,0.932933763,-0.526925341,1,-0.887914721,0,0,-0.558653798,0.428571429,-1.454054089,1
941,0.170842806,0,-0.182774219,0.028583257,0.419488407,0.052198074,-1.803128103,-0.157036148,-0.970250515,-0.973897299,-1,0.086373454,0,1,-0.073735262,-0.714285714,0.391548591,3
8947,2.050791176,0,-0.431068931,1.679251562,0.229631574,2.632368412,-0.295455367,-0.165944552,0.999627569,-0.356785707,-1,0.076796619,0,0,1.306891671,0.428571429,0.766984115,0
5122,0.06632191,0,0.005906786,-0.117959421,-1.754846209,-0.063282746,-1.803128103,-0.485882067,-0.607645374,-0.992055842,1,-0.355405284,0,0,-0.057171964,0.142857143,-0.466345143,6
3124,0.209860611,0,0.035220592,0.157597357,0.070958955,0.096062482,-1.426209919,-0.084848364,-1.172460929,-0.981344082,-1,0.058258544,0,0,0.137946474,0.142857143,0.34476557,11
9722,-0.790968002,0,-0.267595132,-0.708477148,0.761903307,-0.899274459,0.835299184,-0.25152517,-0.286349504,-0.998287431,1,-0.019961253,0,0,-0.75490788,0.714285714,0.044133033,12
7345,1.866356338,0,0.817670481,2.049544706,0.864627777,1.928497066,-0.295455367,0.590982395,1.575583646,-0.952145235,-1,0.708727949,0,0,2.06399424,0.142857143,1.861546446,1
40,-1.185442135,0,-0.979801968,-1.637475,1.408517158,-1.217359948,0.458381,-0.664535975,1.928829958,-0.768944942,1,-0.987928765,0,0,-1.736567631,1,-1.845496894,1
5403,1.329409344,0,0.512629139,1.608826561,1.942928984,1.529589138,-1.34E-15,0.538501448,0.921082798,-0.945115927,-1,0.672633603,0,0,1.545809254,0.428571429,1.73203352,1
4001,0.841015843,0,-0.070284291,0.65660666,0.59283595,0.862656995,-1.803128103,-0.122842135,-0.71275423,-0.443387062,-1,0.122374704,1,0,0.532070758,-1,0.583673877,3
4412,-0.093455366,0,-0.145945137,-0.231335343,-0.984718411,-0.234119402,-1.426209919,-0.343115827,-0.872536299,-0.966538353,1,-0.135426423,1,0,-0.257121692,-1,-0.074003589,3
8247,-0.44337898,0,-0.068237259,-0.388696082,-1.422826047,-0.584212096,0.081462816,-0.244803318,-0.70749418,-0.99826662,-1,-0.012018563,0,0,-0.385270993,0.428571429,0.107308618,9
9687,-0.318395354,0,-0.20867302,-0.504690496,-1.130856199,-0.462959289,-2.180046286,-0.491777972,-0.343149865,-0.998506403,1,-0.366128936,0,0,-0.492909489,-0.142857143,-0.547719592,4
3554,0.485994187,0,0.16391669,0.448334431,-0.36347995,0.4182314,0.458381,-0.172173914,-0.883280227,-0.996627525,-1,0.070048927,0,0,0.451271267,0.714285714,0.416343801,12
1401,-0.19296442,0,0.086188344,-0.22815806,-0.511146375,-0.337036854,0.835299184,-0.422961652,-0.653676813,-0.990260784,1,-0.250457384,0,0,-0.13897583,1,-0.308497469,9
8957,1.199265596,0,0.907298637,1.584723239,1.925502512,1.345582296,0.458381,0.194380123,1.163296858,-0.775949478,-1,0.41330485,0,0,1.730148907,0.142857143,1.210709715,7
2139,-0.52237384,0,0.021422008,-0.424975682,1.282557391,-0.658676016,-0.672373551,-0.31129104,-0.618135453,0.188982498,1,-0.09363711,0,0,-0.367517129,0.142857143,-0.059292858,0
6183,0.500270184,0,0.166514975,0.243787186,-0.266870031,0.43544649,-1.049291735,-0.567996335,-0.154306187,-0.992346712,1,-0.526116225,1,0,0.361903456,-1,-0.714951934,5
4767,-0.422265818,0,-0.171583745,-0.610531548,0.107340538,-0.564024907,-0.295455367,-0.563833569,-0.053495731,-0.937815773,1,-0.516011373,0,0,-0.549002369,0.714285714,-0.848219389,6
9711,-0.636042433,0,0.199523962,-0.704496868,-0.422791102,-0.762871638,0.835299184,-0.660820586,0.836096838,0.210629815,1,-0.906361132,0,0,-0.416797563,0.142857143,-1.621012771,0
4248,-0.346239902,0,0.05420641,-0.394481996,-1.106397992,-0.490337412,-1.803128103,-0.495374837,-0.381572108,-0.605834179,1,-0.372761042,0,0,-0.282678512,0.142857143,-0.564511055,6
8815,-0.285544395,0,-0.238487801,-0.491646359,-0.383963698,-0.430389734,-0.295455367,-0.48345411,-0.355185096,-0.998567647,1,-0.351040743,0,0,-0.496045771,1,-0.514052375,4
6080,0.03148385,0,0.119975743,-0.06498957,0.30361765,-0.101119171,-0.672373551,-0.450942807,-0.648729448,-0.987548394,1,-0.295196619,0,0,0.028800549,0.142857143,-0.357599258,9
4306,0.087353041,0,-0.394337793,-0.231759013,1.447650289,-0.040283103,0.835299184,-0.362702423,-0.487672926,-0.898005027,1,-0.162181103,0,0,-0.357409119,0.428571429,-0.095318534,1
6658,1.214478773,0,0.898822755,1.775206667,1.671137157,1.366856024,0.081462816,0.898211277,1.748617423,-0.468858329,-1,0.906367249,0,0,1.820558571,0.714285714,2.151773385,1
1963,-1.486298779,0,-0.748322079,-1.561049223,0.136078931,-1.431746282,-0.672373551,-0.623543044,1.267381802,-0.906160432,1,-0.691103854,0,0,-1.617359824,0.142857143,-1.313636356,1
4503,0.303671548,0,-0.208345551,-0.063683435,0.452201259,0.203206525,1.589135552,-0.518030183,-0.416889421,-0.532510096,1,-0.416263358,0,0,-0.088663227,1,-0.54144116,12
2704,-3.116790335,0,-0.987158592,-2.274393716,1.201845308,-2.168956372,0.081462816,-0.662232982,2.271587825,-0.928914132,1,-0.925920195,0,0,-2.321652001,0.428571429,-1.872737897,7
298,-0.550362342,0,0.085539363,-0.494013439,0.453424169,-0.68465538,-1.803128103,-0.466577955,-0.331685932,-0.960643363,1,-0.321479026,1,0,-0.367008771,-1,-0.496617943,5
4688,-0.413156966,0,-0.32192708,-0.735449147,0.902537998,-0.555278424,-0.295455367,-0.617357776,0.341686588,-0.959844522,1,-0.668643733,0,0,-0.700354214,0.428571429,-1.137195825,1
7128,-0.287610886,0,-0.237630143,-0.498870356,0.010424892,-0.432447102,-1.803128103,-0.492858585,-0.327139803,-0.917872917,1,-0.368114119,0,0,-0.499504336,-0.142857143,-0.546840285,4
3378,0.139219573,0,-0.075419614,-0.00730112,-0.482713709,0.016948,0.458381,-0.310336077,-1.156009163,-0.917656199,1,-0.092412873,0,0,-0.032997926,0.142857143,0.046114146,9
3400,-1.655862574,0,-0.106630836,-1.132251259,0.587027126,-1.541818468,-0.672373551,-0.381129946,0.210451573,-0.920896531,1,-0.188157008,0,0,-1.041894271,-0.142857143,-0.373811358,10
5836,-0.185054231,1,0.346485591,-0.014226014,0.141582028,-0.328953434,-0.295455367,-0.265309427,-0.43337111,-0.996293264,1,-0.036453791,0,0,0.128829301,-0.428571429,0.099776408,5
6472,1.169349609,0,-0.209303197,1.15429071,1.080777182,1.303930581,0.081462816,0.79568517,0.817496337,0.337688648,-1,0.84277048,0,0,0.808211748,0.428571429,2.021210222,0
3151,0.265519614,0,0.209427143,0.102778323,-0.674710636,0.159345799,1.966053735,-0.534441081,-0.289265031,-0.879873995,1,-0.449919226,0,0,0.241256183,1,-0.612147263,2
3785,-0.038392422,0,-0.033884103,-0.136753764,-0.814428144,-0.17602268,0.835299184,-0.346198979,-0.980133127,-0.948038933,1,-0.139582749,0,0,-0.124524064,0.142857143,-0.073045342,9
4906,-2.595829124,0,-0.835146945,-2.094362841,0.678439675,-2.011356663,1.589135552,-0.662973512,2.008188332,-0.60496142,1,-0.938612562,0,0,-2.09419649,0.714285714,-1.872834479,10
4273,-0.231409784,0,-0.215896248,-0.434412706,-0.122872337,-0.376083839,-0.672373551,-0.470225404,-0.442167964,-0.972608523,1,-0.3277581,0,0,-0.438796935,0.714285714,-0.461482828,4
1844,-0.224692544,0,-0.222136926,-0.433858849,0.234523215,-0.369290223,-0.295455367,-0.471816207,-0.434437749,-0.904730212,1,-0.330515104,0,0,-0.440482958,1,-0.465690237,4
